REPRESENTANTE;NOME;CODIGO CLIENTE;NOME CLIENTE;CODIGO ANTIGO;TIPO;ENDEREÇO;NRO;BAIRRO;CEP;CIDADE;UF;FILIAL;NOME FANTASIA;CNPJ;INSC.ESTADUAL;DATA CADASTRO
10;CFOGAROL CONSULTORIA E REPRESENTAÇÕES;41985367;CORINTO JOSE DE MELO DE SOUZA - ME;17779;F;RUA RUI BARBOSA,221,;221;CENTRO;43700000;SIMOES FILHO;BA;2;NUTRIBEM CENTRAL (RUI BARBOSA);41.985.367/0002-70;103260972;24/09/2014 19:01
10;CFOGAROL CONSULTORIA E REPRESENTAÇÕES;5164972;FASE INDUSTRIA E COMERCIO LTDA.;;F;AVENIDA MARECHAL CASTELO BRANCO;258;WILSON GUIMARÃES SOARES;45987000;TEIXEIRA DE FREITAS;BA;4;FASE SPORTS;5.164.972/0004-88;137000441;06/12/2016 11:06
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;19370896; NO PAIN NO GAIN COMERCIO, DISTRIBUICAO, IMPORTACA;;F;RUA CAROLINE FLORENCE;1828;VILA NOVA;13073076;CAMPINAS;SP;1;NO PAIN NO GAIN;19.370.896/0001-29;7,95443E+11;30/01/2016 11:10
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;2521707; SIMONE RONDON - EPP;12769;F;RUA JOSE ZANCHETA,05,;5;RECANTO DO SOL I;13056670;CAMPINAS;SP;1;FARMAIS;2.521.707/0001-79;2,44622E+11;24/09/2014 19:01
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;15135170;A BACCARIN SUPLEMENTOS ME;;F;R. OLAVO BILAC;11;V. JONES;13465470;AMERICANA;SP;1;A BACCARIN SUPLEMENTOS ME;15.135.170/0001-50;1,65199E+11;01/12/2014 11:29
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;5495681;A. DE O. BERNARDINI ME;999999;F;R. COMENDADOR GUIMARAES;693;CENTRO;13900470;AMPARO;SP;1;G7 SUPLEMENTOS;5.495.681/0001-20;1,68126E+11;24/09/2014 19:02
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;8597363;A.N.O.SUZUKI  ME;10767;F;AV. PEDRO I;309;JD. DO LAGO;12914481;BRAGANCA PAULISTA;SP;1;A.N.O.SUZUKI  ME;8.597.363/0001-68;2,25215E+11;24/09/2014 19:01
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;16518577;ADRIELY DA S DA CRUZ SUPLEMENTOS - ME;999999;F;RUA TOMAZ JASSO,480,SALA 05;480;SANTA CRUZ;13820000;JAGUARIUNA;SP;1;ADRIELY DA S DA CRUZ SUPLEMENTOS - ME;16.518.577/0001-20;3,95035E+11;24/09/2014 19:02
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;17371446;AFS SUPLEMENTOS E ARTIGOS ESPORTIVOS;;F;R. LEVINO RIBEIRO;770;CENTRO;18400410;ITAPEVA;SP;1;CORPUS;17.371.446/0001-25;3,72093E+11;03/11/2014 15:41
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;18702543;AK1 SUPLEMENTOS ALIMENTARES LTDA - ME;20043;F;R. CARLOS GOMES;1321;CENTRO;13480013;LIMEIRA;SP;1;AK1 SUPLEMENTOS;18.702.543/0001-16;4,17359E+11;24/09/2014 19:01
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;22409822;ALESSANDRA LOURDESDA SILVA;;F;RUA  SAO JOAO;177;CENTRO;18550000;BOITUVA;SP;1;ALESSANDRA LOURDESDA SILVA;22.409.822/0001-63;2,19047E+11;10/06/2016 10:07
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;1731107;ALEXANDRE DORELLI GONZALES  ME;6143;F;AV DR. AFONSO VERGUEIRO,1766,LOJA 26 PAV;1766;CENTRO;18035370;SOROCABA;SP;1;ALEGYM;1.731.107/0001-72;6,69327E+11;24/09/2014 19:01
11;CRUZ E CRUZ COM. DE SUPL. E SERVIÇOS;15025644;ALEXANDRE FEDEL COMERCIO DE SUPLEMENTOS;;F;R. VOLUNTARIOS DE PIRACICABA;1657;ALTO;13419280;PIRACICABA;SP;1;XANDAO SUPLEMENTOS;15.025.644/0001-01;5,35286E+11;13/01/2015 14:18
