id; id_plano_pai
47062;47061
47063;47062
47064;47063
47065;47064
47066;47064
47068;47067
47069;47068
47070;47069
47071;47070
47072;47070
47073;47070
47074;47070
47075;47070
47076;47070
47077;47068
47078;47077
47079;47078
47080;47078
47081;47078
47082;47078
47083;47078
47084;47078
47085;47077
47086;47085
47087;47067
47088;47087
47089;47088
47090;47089
47091;47089
47092;47067
47093;47092
47094;47092
47096;47095
47097;47096
47098;47097
47099;47098
47100;47098
47101;47098
47102;47098
47103;47098
47104;47096
47105;47104
47106;47105
47107;47105
47108;47105
47109;47105
47110;47105
47112;47111
47113;47112
47114;47113
47115;47114
47116;47114
47117;47114
47118;47114
47119;47113
47120;47119
47121;47119
47122;47119
47123;47113
47124;47123
47125;47123
47126;47123
47127;47123
47128;47112
47129;47128
47130;47129
47131;47129
47132;47129
47133;47129
47134;47129
47135;47129
47136;47129
47137;47129
47138;47112
47139;47138
47140;47139
47141;47139
47142;47139
47144;47143
47145;47144
47146;47145
47147;47146
47148;47146
47149;47146
47150;47146
47151;47146
47152;47146
47153;47146
47154;47146
47155;47146
47156;47146
47157;47146
47158;47146
47159;47146
47160;47146
47161;47146
47162;47145
47163;47162
47164;47162
47165;47162
47166;47162
47167;47162
47168;47162
47169;47162
47170;47162
47171;47162
47172;47162
47173;47162
47174;47162
47175;47162
47176;47162
47177;47145
47178;47177
47179;47177
47180;47177
47181;47177
47182;47177
47183;47177
47184;47177
47185;47177
47186;47177
47187;47177
47188;47177
47189;47177
47190;47177
47191;47177
47192;47145
47193;47192
47194;47192
47195;47192
47196;47192
47197;47145
47198;47197
47199;47197
47200;47197
47201;47197
47202;47197
47203;47197
47204;47197
