id;nome;cod_ncm;cod_forma_aquisicao;cod_origem_mercadoria;cod_tipo_tributacao_ipi
379913;ABACAXI;20089900;30;11;19
380316;ABACAXI;20089900;30;11;19
380285;ACAI 1 LITRO;20089900;30;11;19
380030;ACAI AGUA + FRUTA;20089900;30;11;19
380286;ACAI C/ SORVETE;20089900;30;11;19
380287;ACAI C/ SORVETE;20089900;30;11;19
380288;ACAI C/ SORVETE;20089900;30;11;19
380029;ACAI COM ÁGUA;20089900;30;11;19
380034;ACAI COM ENERGÉTICO;20089900;30;11;19
380033;ACAI COM LARANJA;20089900;30;11;19
380031;ACAI COM LEITE;20089900;30;11;19
379909;ACAI COMBO G;20089900;30;11;19
379908;ACAI COMBO M;20089900;30;11;19
379907;ACAI COMBO P;20089900;30;11;19
380032;ACAI LEITE + FRUTA;20089900;30;11;19
379906;ACAI PURO G;20089900;30;11;19
379905;ACAI PURO M;20089900;30;11;19
379904;ACAI PURO P;20089900;30;11;19
380290;ÁGUA COM GÁS;22021000;30;11;19
379903;ÁGUA GARRAFA;22021000;30;11;19
380284;BACON;21069090;30;11;19
379914;BANANA;20089900;30;11;19
380317;BANANA;20089900;30;11;19
380025;BANANA SPLIT;21050090;30;11;19
380291;BARCA DE ACAI;20089900;30;11;19
380018;BATATA CANOA CHED. BACON (G);21069090;30;11;19
380017;BATATA CANOA CHED. BACON (P);21069090;30;11;19
380016;BATATA CANOA G;21069090;30;11;19
380015;BATATA CANOA P;21069090;30;11;19
380012;BATATA G;21069090;30;11;19
380014;BATATA G CHED. BACON;21069090;30;11;19
380010;BATATA P;21069090;30;11;19
380013;BATATA P CHED. BACON;21069090;30;11;19
380318;BATER COM BANANA;20089900;30;11;19
380319;BATER COM KIWI;20089900;30;11;19
380320;BATER COM MANGA;20089900;30;11;19
380321;BATER COM MORANGO;20089900;30;11;19
380050;BATIDA ACAI  C/ VODKA;22089000;30;11;19
380053;BATIDA ACAI C/ VINHO;22089000;30;11;19
379937;BEIRUTE DE CALABRESA;21069090;30;11;19
379934;BEIRUTE DE FILÉ MIGNON I;21069090;30;11;19
379935;BEIRUTE DE FILÉ MIGNON II;21069090;30;11;19
379936;BEIRUTE DE FRANGO;21069090;30;11;19
380036;BRUTUS;21069090;30;11;19
380019;CALABRESA ACEBOLADA;21069090;30;11;19
380295;CATUPIRY;21069090;30;11;19
380322;CHANTILY;20089900;30;11;19
380299;CHEDDAR;21069090;30;11;19
379929;CHICAGO;21069090;30;11;19
380323;CHOC. PRETO;21069090;30;11;19
380324;CHOC. QUENTE;21069090;30;11;19
379894;COCA LATA;22021000;30;11;19
380282;COCA ZERO;22021000;30;11;19
380325;COCO RALADO;20089900;30;11;19
380326;CONDENSADO;20089900;30;11;19
380327;CONFETE;20089900;30;11;19
380027;CREME DE PAPAIA;20089900;30;11;19
380054;DRINK;22089000;30;11;19
380289;ESPANHOLA;22089000;30;11;19
380035;EXPLOSÃO;;30;11;19
379896;FANTA LATA;22021000;30;11;19
380328;FARINHA LÁCTEA;20089900;30;11;19
380020;FILÉ MIGNON G;21069090;30;11;19
380280;FONDUE 3 FRUTAS;21069090;30;11;19
380281;FONDUE SÓ MORANGO;21069090;30;11;19
