nome;fabricante;categoria; vlr_custo ; vlr_varejo ;cod_ncm;cod_forma_aquisicao;cod_origem_mercadoria;Tipo de Tributacao;cod_regra_padrao;dsc_unidade_comercial
77717 MBB1935/1936/1941 OM447 380MM;SACHS;Produto Acabado L.P.; R$ 597,00 ; R$1.125,00 ;87089300;30;11;19;58;PECA
66150 KIT 380mm F.F. ALAVANCA - MBB 1519;SACHS;Produto Acabado L.P.; R$ 1,00 ; R$1.619,00 ;87089300;30;11;19;58;PECA
66537 KIT 430mm - 11470\55421\33365 - VOLVO B7R;SACHS;Produto Acabado L.P.; R$ 1,00 ; R$2.230,00 ;87089300;30;11;19;58;PECA
66174 KIT395mm - 1546/5597/3739 - Constellation 17-280E MAN 6.9L ZF 9S 1110 TD Após 2012;SACHS;Produto Acabado L.P.; R$ 400,00 ; R$2.270,00 ;87089300;30;11;19;58;PECA
66202 - 1202-5346-3326 609 / 709 / 710 / 809 OM 364 95 CV;SACHS;Produto Acabado L.P.; R$ 200,00 ; R$850,00 ;87089300;30;11;19;58;PECA
66491 - 430mm - 1469/5386-3356 - NL 10 4x2 / 6x2 TD 101 G / TD 102 F/FT/S/D 10A;SACHS;Produto Acabado L.P.; R$ 350,00 ; R$2.250,00 ;87089300;30;11;19;58;PECA
66741 KIT 400mm - 7741/55583/33060(dupla) Volvo FH12;SACHS;Produto Acabado L.P.; R$ 1,00 ; R$3.800,00 ;87089300;30;11;19;58;PECA
66453-1 G400 / 440 / 480 Opticruise;VALEO;Produto Acabado L.P.; R$ 500,00 ; R$2.281,00 ;87089300;30;11;19;58;PECA
66453-1 - KIT 430mm - 11453\55453\33350 - Scania Série5 G380\420\440 - P250\270\310 - R500\560;VALEO;Produto Acabado L.P.; R$ 1,00 ; R$2.381,00 ;87089300;30;11;19;58;PECA
66738 - Kit 400mm - 77738/55050/33388 (dupla) - MBB 2638/2826/3344 Axor;SACHS;Produto Acabado L.P.; R$ 720,00 ; R$3.800,00 ;87089300;30;11;19;58;PECA
55386 VOLVO NL10 430mm;SACHS;Produto Acabado L.P.; R$ 390,00 ; R$952,00 ;87089300;30;11;19;58;PECA
66107 MBB 1113 280MM OM 352;SACHS;Produto Acabado L.P.; R$ 1,00 ; R$410,00 ;87089300;30;11;19;58;PECA
66451 KIT 430mm - 11470/5450/3350 P310\K310\K94onibus;SACHS;Produto Acabado L.P.; R$ 1,00 ; R$2.230,00 ;87089300;30;11;19;58;PECA
66541 KIT IVECO 395mm 11641\55641\3366 )PLATÔ 400mm;SACHS;Produto Acabado L.P.; R$ 1,00 ; R$2.681,00 ;87089300;30;11;19;58;PECA
66404 KIT 350mm CHAPA - 11504\55035 - MBB 1620;SACHS;Produto Acabado L.P.; R$ 1,00 ; R$1.120,00 ;87089300;30;11;19;58;PECA
33391-3 MANCAL 365mm EATON \ DUPLA;EATON;Produto Acabado L.P.; R$ 90,00 ; R$198,00 ;87089300;30;11;19;58;PECA
66307-3 KIT 395mm F.F. 11395-3/55295-3/33307-3 (cabine nova) FORD 2622e / 2628e;EATON;Produto Acabado L.P.; R$ 1,00 ; R$2.681,00 ;87089300;30;11;19;58;PECA
66566-3 KIT 395mm F.F.  11395-3/55294-3/33305-3 (cabine nova) FORD;EATON;Produto Acabado L.P.; R$ 1,00 ; R$2.681,00 ;87089300;30;11;19;58;PECA
66394-3 KIT 395mm F.F. 11395-3/55295-3/33304-3 F, CARGO2422(6X4)VW 26-260(6X4);EATON;Produto Acabado L.P.; R$ 1,00 ; R$2.681,00 ;87089300;30;11;19;58;PECA
66984 - 380mm 1982/5383 - VW 18-310/23-310/26-310/Worker 31-310;SACHS;Produto Acabado L.P.; R$ 1,00 ;;87089300;30;11;19;58;PECA
33379 MANCAL 420mm SCANIA B75/76 / 110 / 111;SACHS;Produto Acabado L.P.; R$ 1,00 ; R$250,00 ;87089300;30;11;19;58;PECA
33382-3 MANCAL 365mm EATON C\ MORINGA (bojudo - bronze);EATON;Produto Acabado L.P.; R$ 90,00 ; R$189,00 ;87089300;30;11;19;58;PECA
66551-3 - KIT 365mm EATON C/ MORINGA - 11557-3/55781-3/33382-3 - FORD Cargo 1721\2217 - VW 12-170;EATON;Produto Acabado L.P.; R$ 1,00 ; R$1.336,00 ;87089300;30;11;19;58;PECA
33309F \ 33309NV MANCAL 362/395mm - MBB 1417 / 1722 / HCS 06P12 / KSW 101.11 F;SACHS;Produto Acabado L.P.; R$ 148,00 ; R$298,00 ;87089300;30;11;19;58;PECA
66548 KIT 350mm 11548\55548 VW Worker 13-180E / (Euro III Eletrônica - motor cummins);SACHS;Produto Acabado L.P.; R$ 250,00 ; R$1.310,00 ;87089300;30;11;19;58;PECA
66294-3 KIT 395mm EATON F.F.  11395-3\55294-3\33305-3 NOVO CARGO 2428E/2429E;EATON;Produto Acabado L.P.; R$ 1,00 ; R$2.681,00 ;87089300;30;11;19;58;PECA
66295-3 KIT 395mm - 11395-3\55095-3\33384-3 VOLVO VM 310;EATON;Produto Acabado L.P.; R$ 1,00 ; R$2.681,00 ;87089300;30;11;19;58;PECA
33384-3 MANCAL 395mm  VOLVO VM310 (arame)(KSW 101.60AC)  P\ Platô Eaton F.F. puxado;EATON;Produto Acabado L.P.; R$ 127,00 ; R$331,00 ;87089300;30;11;19;58;PECA
66450 -1 - KIT 430mm VALEO \  11450-1\55722-1\33350-1  -SCN 124\G420-440\P310\K94ônibus;VALEO;Produto Acabado L.P.; R$ 1,00 ; R$2.310,00 ;87089300;30;11;19;58;PECA
66485 - KIT 430mm - 11470\5389\33353 - Scania GR 871 - 10 MARCHAS;SACHS;Produto Acabado L.P.; R$ 350,00 ; R$2.230,00 ;87089300;30;11;19;58;PECA
33389 MANCAL 330mm VOLARE A8/V8/W8e/W9e;SACHS;Produto Acabado L.P.; R$ 1,00 ; R$70,00 ;87089300;30;11;19;58;PECA
66556-3 - KIT 365mm EATON S/ MORINGA - 11557-3/55781-3/33393-3 - FORD Cargo 1721\2217\VW 23-210;EATON;Produto Acabado L.P.; R$ 1,00 ; R$1.336,00 ;87089300;30;11;19;58;PECA
66305-3 - KIT 395mm EATON F.F.- 11395-3\55295-3/33305-3 - (cabine nova) FORD 2428e/2429e;EATON;Produto Acabado L.P.; R$ 1,00 ; R$2.681,00 ;87089300;30;11;19;58;PECA
66261 KIT 395mm  11546\55638\33739 VW Worker 17-230;SACHS;Produto Acabado L.P.; R$ 1,00 ; R$1.981,00 ;87089300;30;11;19;58;PECA
66142 - KIT 325mm - 11142/55293/33367 - FORD 13;SACHS;Produto Acabado L.P.; R$ 246,00 ; R$594,00 ;87089300;30;11;19;58;PECA
66578  - KIT 350mm - 11078\55723\33348 COM MORINGA- FORD Cargo 1421\1519\1622;SACHS;Produto Acabado L.P.; R$ 250,00 ; R$1.235,00 ;87089300;30;11;19;58;PECA
66585 - KIT 330mm - 11585\55585\33373 - VW 8-150\ 9-150\9-160;SACHS;Produto Acabado L.P.; R$ 285,00 ; R$950,00 ;87089300;30;11;19;58;PECA
33377-1 MANCAL430mm MBB 1634/1938/1944/2726/ ATRON 2729/ AXOR / O400/O500 / HCS 06P18 / KSW 101.12AC;VALEO;Produto Acabado L.P.; R$ 104,00 ; R$379,00 ;87089300;30;11;19;58;PECA
11097-1 PLATÔ 430mm MBB 1938;VALEO;Produto Acabado L.P.; R$ 1,00 ;;87089300;30;11;19;58;PECA
33307-3 MANCAL 395mm MODERNO(orelhinha/bico/furo maior) KSW 101.76AC;EATON;Produto Acabado L.P.; R$ 205,00 ; R$399,00 ;87089300;30;11;19;58;PECA
33304-3 MANCAL 395mm EATON S/MORINGA (pescoço/baixo) VW 16-300/26-260;EATON;Produto Acabado L.P.; R$ 215,00 ; R$421,00 ;87089300;30;11;19;58;PECA
33394-3NV MANCAL 365mm EATON C/MORINGA MODERNO (reforçado) (PANDA) / HCS 05P16 / KSW 101.75AC;EATON;Produto Acabado L.P.; R$ 205,00 ; R$412,00 ;87089300;30;11;19;58;PECA
33359NV MANCAL 350/380mm  FORD Cargo 1317 / 2421 \ IVECO 170 E21 / HCS 02P03 / KSW 101.04AC;SACHS;Produto Acabado L.P.; R$ 194,00 ; R$367,00 ;87089300;30;11;19;58;PECA
33366NV MANCAL 430mm IVECO EURO TECH - TRAKKER - STRALIS - CURSOR;SACHS;Produto Acabado L.P.; R$ 198,00 ; R$387,00 ;87089300;30;11;19;58;PECA
66482 - KIT 430mm - 11470\55722\33352 - Scania GR\GRS 900 8marchas;SACHS;Produto Acabado L.P.; R$ 615,00 ; R$2.230,00 ;87089300;30;11;19;58;PECA
33384-3NV MANCAL 395mm  VOLVO VM310 (arame)(KSW 101.60AC)  P\ Platô Eaton F.F. puxado;EATON;Produto Acabado L.P.; R$ 197,00 ; R$387,00 ;87089300;30;11;19;58;PECA
66549-3 KIT 365mm  11557-3/55781-3/55783-3/33303-3 F, CARGO2422(6X4)VW 26-260(6X4);EATON;Produto Acabado L.P.; R$ 1,00 ; R$2.391,00 ;87089300;30;11;19;58;PECA
