cod_barras;nome;fabricante;tamanho;cor_sabor;vlr_custo;vlr_atacado;vlr_varejo;ncm;forma_aquisicao;origem_mercadoria;tipo_tributacao_ipi;Uni Comercial
789131000386;BERMUDA MOLETOM-PRETO-S;BODY STYLE;S;PRETO;0,00;0,00;0,00;61012000;30;11;19;UN
789131000387;BERMUDA MOLETOM-PRETO-M;BODY STYLE;M;PRETO;0,00;0,00;0,00;61012000;30;11;19;UN
789131000388;BERMUDA MOLETOM-PRETO-L;BODY STYLE;L;PRETO;0,00;0,00;0,00;61012000;30;11;19;UN
789131000389;BERMUDA MOLETOM-PRETO-XL;BODY STYLE;XL;PRETO;0,00;0,00;0,00;61012000;30;11;19;UN
789131000557;CAMISA MASC-DIVERSAS-S;BODY STYLE;S;DIVERSAS;0,00;0,00;25,00;61091000;30;11;19;UN
789131000558;CAMISA MASC-DIVERSAS-M;BODY STYLE;M;DIVERSAS;0,00;0,00;25,00;61091000;30;11;19;UN
789131000559;CAMISA MASC-DIVERSAS-L;BODY STYLE;L;DIVERSAS;0,00;0,00;25,00;61091000;30;11;19;UN
789131000560;CAMISA MASC-DIVERSAS-XL;BODY STYLE;XL;DIVERSAS;0,00;0,00;25,00;61091000;30;11;19;UN
789131000561;REGATA MASC-DIVERSAS-S;BODY STYLE;S;DIVERSAS;0,00;0,00;27,00;61091000;30;11;19;UN
789131000562;REGATA MASC-DIVERSAS-M;BODY STYLE;M;DIVERSAS;0,00;0,00;27,00;61091000;30;11;19;UN
789131000563;REGATA MASC-DIVERSAS-L;BODY STYLE;L;DIVERSAS;0,00;0,00;27,00;61091000;30;11;19;UN
789131000564;REGATA MASC-DIVERSAS-XL;BODY STYLE;XL;DIVERSAS;0,00;0,00;27,00;61091000;30;11;19;UN
789131000565;REGATA FEM-DIVERSAS-S;BODY STYLE;S;DIVERSAS;0,00;0,00;27,00;61061000;30;11;19;UN
789131000566;REGATA FEM-DIVERSAS-M;BODY STYLE;M;DIVERSAS;0,00;0,00;27,00;61061000;30;11;19;UN
789131000567;REGATA FEM-DIVERSAS-L;BODY STYLE;L;DIVERSAS;0,00;0,00;27,00;61061000;30;11;19;UN
789131000568;BLUSA FEM-DIVERSAS-S;BODY STYLE;S;DIVERSAS;0,00;0,00;25,00;61061000;30;11;19;UN
789131000569;BLUSA FEM-DIVERSAS-M;BODY STYLE;M;DIVERSAS;0,00;0,00;25,00;61061000;30;11;19;UN
789131000570;BLUSA FEM-DIVERSAS-L;BODY STYLE;L;DIVERSAS;0,00;0,00;25,00;61061000;30;11;19;UN
789131000859;CAMISA MASC-DIVERSAS-S;BODY STYLE;S;DIVERSAS;0,00;0,00;30,00;61091000;30;11;19;UN
789131000860;CAMISA MASC-DIVERSAS-M;BODY STYLE;M;DIVERSAS;0,00;0,00;30,00;61091000;30;11;19;UN
789131000861;CAMISA MASC-DIVERSAS-L;BODY STYLE;L;DIVERSAS;0,00;0,00;30,00;61091000;30;11;19;UN
789131000862;CAMISA MASC-DIVERSAS-XL;BODY STYLE;XL;DIVERSAS;0,00;0,00;30,00;61091000;30;11;19;UN
789131000863;CAMISA MASC-DIVERSAS-XXL;BODY STYLE;XXL;DIVERSAS;0,00;0,00;30,00;61091000;30;11;19;UN
789131000864;BLUSA FEM-DIVERSAS-S;BODY STYLE;S;DIVERSAS;0,00;0,00;29,00;61062000;30;11;19;UN
789131000865;BLUSA FEM-DIVERSAS-M;BODY STYLE;M;DIVERSAS;0,00;0,00;29,00;61062000;30;11;19;UN
789131000866;BLUSA FEM-DIVERSAS-L;BODY STYLE;L;DIVERSAS;0,00;0,00;29,00;61062000;30;11;19;UN
789000000909;CAMISA MASC -DIVERSAS-S;BODY STYLE;S;DIVERSAS;0,00;35,00;69,00;61091000;30;11;19;UN
789000000910;CAMISA MASC -DIVERSAS-M;BODY STYLE;M;DIVERSAS;0,00;35,00;69,00;61091000;30;11;19;UN
