id;vlr_atacado
244761;R$13,05
244779;R$164,50
244780;R$232,00
244784;R$121,00
244785;R$45,00
244787;R$12,92
244790;R$12,92
244791;R$12,92
244799;R$195,20
244800;R$164,50
244811;R$49,92
244816;R$23,20
244818;R$53,37
244819;R$78,50
244820;R$64,92
244821;R$168,90
244822;R$146,50
244823;R$145,00
244828;R$129,14
244830;R$163,00
244831;R$70,10
244834;R$195,20
244837;R$45,00
244840;R$164,50
244849;R$200,00
244861;R$79,47
244865;R$104,00
244871;R$40,00
244873;R$19,90
244877;R$44,50
244878;R$39,02
244880;R$35,00
244894;R$348,00
244897;R$312,00
244906;R$75,50
244907;R$69,90
244909;R$113,00
244920;R$64,92
244921;R$88,10
244925;R$173,36
244926;R$143,00
244927;R$107,90
244928;R$89,00
244939;R$19,90
244944;R$99,00
244954;R$75,00
244958;R$62,90
244960;R$45,00
244961;R$79,00
244963;R$77,90
244964;R$130,50
244965;R$85,50
244967;R$42,50
244973;R$40,00
244976;R$104,30
244995;R$51,75
244996;R$92,00
244998;R$93,50
245014;R$122,80
245019;R$242,00
245021;R$121,00
245026;R$35,45
245031;R$23,45
245039;R$49,92
245045;R$23,20
245047;R$53,37
245050;R$79,93
245051;R$64,92
245052;R$168,90
245053;R$146,50
245054;R$145,00
245055;R$60,50
245060;R$129,14
245063;R$70,10
245068;R$195,20
245069;R$469,90
245072;R$45,00
245075;R$160,00
245077;R$164,50
245092;R$242,00
245093;R$200,00
245094;R$238,50
245096;R$121,50
245105;R$79,47
245107;R$109,90
245113;R$40,00
245115;R$19,90
245119;R$44,50
245120;R$39,02
245127;R$23,96
245142;R$348,00
245148;R$55,14
245149;R$38,04
245158;R$75,50
245159;R$69,90
245160;R$85,50
245161;R$113,00
245172;R$64,92
245173;R$96,40
245174;R$88,10
245175;R$88,10
245179;R$173,36
245180;R$143,00
245181;R$107,90
245191;R$34,20
245192;R$76,62
245198;R$19,90
245203;R$99,00
245212;R$93,50
245213;R$75,00
245216;R$62,90
245221;R$45,00
245222;R$79,00
245225;R$130,50
245228;R$42,50
245236;R$40,00
245239;R$104,30
245247;R$122,80
245256;R$59,90
245257;R$22,26
245258;R$125,00
245278;R$22,26
245285;R$200,00
245292;R$64,92
245293;R$96,40
245295;R$89,10
245300;R$122,80
245302;R$22,26
245303;R$70,10
245319;R$113,00
245321;R$88,10
245322;R$34,20
245323;R$40,00
245330;R$122,80
245331;R$12,92
245345;R$51,75
245348;R$78,00
245350;R$92,00
245369;R$8,72
245371;R$58,00
245374;R$34,65
245378;R$59,90
245379;R$22,26
245386;R$85,00
245387;R$8,72
245391;R$39,46
245392;R$55,80
245398;R$16,50
245401;R$13,05
245404;R$27,90
245405;R$85,00
245406;R$54,00
245407;R$125,00
245408;R$9,21
245411;R$33,75
245418;R$26,00
245419;R$52,07
245420;R$33,00
245432;R$8,72
245434;R$14,03
245435;R$23,20
245436;R$39,02
245441;R$8,72
245444;R$27,90
245445;R$51,75
245448;R$81,00
245457;R$44,27
245458;R$52,07
245459;R$85,00
245460;R$92,00
245461;R$75,50
245463;R$44,00
245466;R$52,07
245475;R$25,75
245482;R$125,00
245490;R$52,07
245491;R$88,10
245498;R$35,90
245501;R$48,05
245503;R$85,00
245504;R$54,00
245506;R$75,50
245508;R$16,50
245513;R$45,00
245517;R$27,90
245522;R$49,92
245523;R$8,72
245528;R$23,20
245530;R$53,37
245532;R$79,93
245534;R$168,90
245535;R$146,50
245536;R$145,00
245537;R$60,50
245541;R$129,14
245543;R$163,00
245544;R$70,10
245548;R$195,20
245554;R$45,00
245559;R$160,00
245570;R$26,00
245572;R$200,00
245575;R$121,50
245584;R$79,47
245590;R$14,03
245595;R$40,00
245597;R$19,90
245601;R$44,50
245602;R$39,02
245604;R$36,70
245608;R$23,96
245620;R$55,14
245627;R$75,50
245628;R$69,90
245630;R$113,00
245640;R$64,92
245641;R$96,40
245645;R$173,36
245646;R$143,00
245647;R$107,90
245648;R$89,00
245655;R$109,83
245656;R$70,00
245657;R$34,20
245658;R$76,62
245663;R$19,90
245669;R$99,00
245678;R$75,00
245681;R$62,90
245685;R$79,00
245688;R$130,50
245689;R$85,50
245691;R$42,50
245696;R$40,00
245699;R$104,30
245704;R$122,80
245716;R$11,60
245720;R$33,94
245721;R$78,94
245730;R$85,00
245731;R$75,50
245732;R$44,00
245741;R$116,00
245748;R$59,90
245784;R$38,71
245787;R$125,00
245789;R$8,72
245816;R$51,75
245817;R$8,72
245825;R$26,00
245827;R$92,00
245836;R$27,90
245837;R$35,90
245840;R$33,75
245858;R$53,37
245860;R$70,10
245863;R$39,02
245864;R$23,96
245869;R$40,00
245870;R$51,75
245873;R$92,00
245875;R$51,75
245876;R$92,00
245877;R$12,50
245881;R$20,95
245882;R$22,43
245883;R$0,00
245889;R$24,66
245890;R$16,97
245893;R$34,10
245904;R$15,33
245905;R$19,04
245906;R$32,43
245908;R$9,90
245919;R$15,72
245921;R$15,25
245922;R$48,00
245923;R$64,50
245926;R$41,43
245938;R$40,00
245939;R$28,70
245942;R$32,63
245949;R$78,00
245958;R$15,87
